Gene_Name	Match_Count
YAL001C	3
YAL002W	1
YAL003W	0
YAL005C	0
YAL008W	0
YAL009W	1
YAL010C	1
YAL011W	0
YAL012W	0
YAL013W	0
YAL016W	3
YAL017W	1
YAL018C	0
YAL019W	0
YAL020C	0
YAL021C	1
YAL022C	0
YAL023C	0
YAL024C	3
YAL025C	0
YAL026C	0
YAL027W	1
YAL028W	0
YAL031C	2
YAL032C	0
YAL033W	0
YAL034C	0
YAL034W	1
YAL035W	0
YAL036C	1
YAL037W	0
YAL038W	0
YAL039C	0
YAL040C	1
YAL041W	0
YAL042W	0
YAL043C	0
YAL044C	1
YAL044W	0
YAL046C	0
YAL047C	1
YAL048C	0
YAL049C	0
YAL051W	2
YAL053W	0
YAL054C	0
YAL055W	0
YAL056W	0
YAL058W	1
YAL059W	0
YAL060W	1
YAL061W	0
YAR002C	0
YAR002W	0
YAR003W	0
YAR007C	1
YAR015W	0
YAR018C	1
YAR019C	0
YAR020C	0
YBL004W	3
YBL005W	0
YBL006C	0
YBL007C	3
YBL008W	1
YBL009W	1
YBL010C	1
YBL011W	1
YBL013W	0
YBL016W	0
YBL017C	3
YBL018C	0
YBL022C	3
YBL023C	1
YBL024W	1
YBL029C	0
YBL029W	1
YBL030C	0
YBL031W	0
YBL032W	0
YBL033C	0
YBL034C	1
YBL035C	1
YBL037W	1
YBL038W	0
YBL047C	1
YBL049W	0
YBL050W	1
YBL051C	0
YBL052C	0
YBL054W	0
YBL055C	0
YBL056W	0
YBL057C	0
YBL058W	0
YBL061C	1
YBL063W	1
YBL064C	0
YBL066C	1
YBL067C	0
YBL068W	0
YBL069W	1
YBL071W	0
YBL072C	0
YBL074C	0
YBL075C	0
YBL076C	2
YBL078C	1
YBL081W	0
YBL082C	0
YBL084C	1
YBL085W	1
YBL086C	0
YBL087C	0
YBL088C	9
YBL089W	1
YBL090W	0
YBL091C	0
YBL092W	0
YBL093C	0
YBL095W	0
YBL097W	0
YBL098W	0
YBL101C	0
YBL102W	0
YBL103C	0
YBL104C	2
YBL105C	3
YBL106C	0
YBL107C	1
YBR003W	0
YBR004C	2
YBR005W	0
YBR006W	1
YBR009C	0
YBR010W	0
YBR011C	0
YBR014C	0
YBR015C	0
YBR016W	0
YBR017C	1
YBR018C	0
YBR019C	0
YBR020W	0
YBR021W	0
YBR022W	0
YBR023C	4
YBR024W	0
YBR025C	0
YBR026C	0
YBR028C	0
YBR029C	1
YBR030W	0
YBR031W	0
YBR033W	1
YBR034C	1
YBR035C	0
YBR036C	0
YBR037C	1
YBR038W	0
YBR039W	0
YBR040W	0
YBR041W	0
YBR042C	2
YBR043C	0
YBR045C	0
YBR046C	0
YBR047W	0
YBR048W	2
YBR049C	1
YBR050C	0
YBR052C	0
YBR053C	3
YBR054W	0
YBR055C	2
YBR056W	3
YBR057C	0
