Gene_Name	Match_Count
YAL001C	3
YAL002W	1
YAL003W	0
YAL005C	0
YAL008W	0
YAL009W	1
YAL010C	1
YAL011W	0
YAL012W	0
YAL013W	0
YAL016W	3
YAL017W	1
YAL018C	0
YAL019W	0
YAL020C	0
YAL021C	1
YAL022C	0
YAL023C	0
YAL024C	3
YAL025C	0
YAL026C	0
YAL027W	1
YAL028W	0
YAL031C	2
YAL032C	0
YAL033W	0
YAL034C	0
YAL034W	1
YAL035W	0
YAL036C	1
YAL037W	0
YAL038W	0
YAL039C	0
YAL040C	1
YAL041W	0
YAL042W	0
YAL043C	0
YAL044C	1
YAL044W	0
YAL046C	0
YAL047C	1
YAL048C	0
YAL049C	0
YAL051W	2
YAL053W	0
YAL054C	0
YAL055W	0
YAL056W	0
YAL058W	1
YAL059W	0
YAL060W	1
YAL061W	0
YAR002C	0
YAR002W	0
YAR003W	0
YAR007C	1
YAR015W	0
YAR018C	1
YAR019C	0
YAR020C	0
